,sa_company_name,f_score
0,A D F FOODS LTD.,5
1,SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD.,5
2,A S M TECHNOLOGIES LTD.,5
3,A T E TRADING & MFG. CO. LTD. [MERGED],6
4,ACE SOFTWARE EXPORTS LTD.,5
5,ACROW INDIA LTD.,5
6,ADDI INDUSTRIES LTD.,5
7,ADOR FONTECH LTD.,5
8,ADVANCED ENZYME TECHNOLOGIES LTD.,5
9,AHLCON PARENTERALS (INDIA) LTD.,6
10,TORRENT POWER A E C LTD. [MERGED],5
11,AKSH OPTIFIBRE LTD.,5
12,ALACRITY ELECTRONICS LTD.,5
13,SHRENO LTD.,5
14,ALFA LAVAL INDIA PVT. LTD.,5
15,ALFA TRANSFORMERS LTD.,5
16,ALFRED HERBERT (INDIA) LTD.,6
17,ALLCARGO LOGISTICS LTD.,5
18,ALPHAGEO (INDIA) LTD.,5
19,ALPS INDUSTRIES LTD.,6
20,ALUFLUORIDE LTD.,6
21,AMAL LTD.,5
22,AMARJOTHI SPINNING MILLS LTD.,5
23,AMBUJA CEMENT EASTERN LTD. [MERGED],5
24,AMCO INDIA LTD.,6
25,AMISON FOODS LTD.,5
26,AMTEK AUTO LTD.,5
27,ANANT RAJ LTD.,5
28,ANDHRA CEMENTS LTD.,6
29,ANDHRA PETROCHEMICALS LTD.,6
30,ANDHRA PRADESH TANNERIES LTD.,6
31,ANDHRA SUGARS LTD.,5
32,A I CHAMPDANY INDS. LTD.,5
33,ANSAL HOUSING LTD.,5
34,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,5
35,APLAB LTD.,5
36,AREX INDUSTRIES LTD.,6
37,ARROW WEBTEX LTD. [MERGED],6
38,ARVIND LTD.,5
39,ARVIND REMEDIES LTD.,5
40,ARYAN PESTICIDES LTD. [MERGED],5
41,A B B INDIA LTD.,5
42,ASHCO NIULAB INDS. LTD.,5
43,ASHIRWAD STEELS & INDS. LTD.,5
44,ASHOK ALCO-CHEM LTD.,5
45,ASHOKA BUILDCON LTD.,5
46,ASIA AUTOMOTIVE LTD.,5
47,BLACK ROSE INDS. LTD.,5
48,ASSAM PETROCHEMICALS LTD.,6
49,A C C LTD.,5
50,A S I INDUSTRIES LTD.,5
51,R R I L LTD.,5
52,ASTRA MICROWAVE PRODUCTS LTD.,5
53,AUROBINDO PHARMA LTD.,5
54,AUTOMOTIVE AXLES LTD.,6
55,SARTHAK GLOBAL LTD.,5
56,AZTECSOFT LTD. [MERGED],6
57,B & A LTD.,6
58,B & A PACKAGING INDIA LTD.,5
59,B A S F INDIA LTD.,5
60,B C C FUBA INDIA LTD.,6
61,BILCARE LTD.,5
62,BALMER LAWRIE-VAN LEER LTD.,5
63,BARODA RAYON CORPN. LTD.,5
64,INEOS STYROLUTION INDIA LTD.,5
65,BENARES HOTELS LTD.,5
66,BERYL DRUGS LTD.,5
67,BESCO LTD.,5
68,BHAGAWATI OXYGEN LTD.,6
69,BHAGERIA INDUSTRIES LTD.,5
70,BHAGIRADHA CHEMICALS & INDS. LTD.,6
71,R K B AGRO INDS. LTD.,5
72,BHARAT BIJLEE LTD.,5
73,B E M L LTD.,5
74,BHARAT ELECTRONICS LTD.,5
75,BHARAT RASAYAN LTD.,5
76,CAPSUGEL HEALTHCARE PVT. LTD.,5
77,B C L INDUSTRIES LTD.,5
78,SHRI BHOLANATH CARPETS LTD.,5
79,BIMETAL BEARINGS LTD.,5
80,BINAYAK TEX PROCESSORS LTD.,5
81,BIRLA CORPORATION LTD.,5
82,BIRLA CABLE LTD.,5
83,BLUE BLENDS (INDIA) LTD.,5
84,BLUE DART EXPRESS LTD.,6
85,BLUE STAR LTD.,5
86,B K V INDUSTRIES LTD.,6
87,BOSCH REXROTH (INDIA) PVT. LTD.,5
88,BILPOWER LTD.,5
89,I M + CAPITALS LTD.,5
90,SHELTER INFRA PROJECTS LTD.,5
91,C G-V A K SOFTWARE & EXPORTS LTD.,6
92,C M I LTD.,5
93,CABOT INDIA LTD.,5
94,MONDELEZ INDIA FOODS PVT. LTD.,5
95,CAPRIHANS INDIA LTD.,5
96,ZYDUS WELLNESS LTD.,6
97,CATVISION LTD.,5
98,CAUVERY SOFTWARE ENGG. SYSTEMS LTD.,5
99,EXEDY INDIA LTD.,5
100,CENLUB INDUSTRIES LTD.,6
101,CENTENIAL SURGICAL SUTURE LTD.,5
102,CENTRON INDUSTRIAL ALLIANCE LTD.,5
103,CENTURY ENKA LTD.,5
104,MERINO INDUSTRIES LTD.,6
105,CHAMAN LAL SETIA EXPORTS LTD.,5
106,CHARMINAR BREWERIES LTD. [MERGED],5
107,CHENNAI PETROLEUM CORPN. LTD.,5
108,CHEVIOT CO. LTD.,6
109,C C L INTERNATIONAL LTD.,5
110,CHITRADURGA SPINTEX LTD.,6
111,CHOWGULE STEAMSHIPS LTD.,5
112,CINDRELLA HOTELS LTD.,5
113,CIPLA LTD.,5
114,CITY LIFTS (INDIA) LTD.,5
115,CLARISIS ORGANICS LTD.,5
116,COASTAL PAPERS LTD. [MERGED],6
117,COASTAL ROADWAYS LTD.,5
118,COCHIN SHIPYARD LTD.,5
119,COLGATE-PALMOLIVE (INDIA) LTD.,5
120,COMPETENT AUTOMOBILES CO. LTD.,5
121,COMPUTECH INTERNATIONAL LTD.,5
122,CONSOLIDATED CONSTRUCTION CONSORTIUM LTD.,5
123,CONSOLIDATED FIBRES & CHEMICALS LTD.,5
124,C C L PRODUCTS (INDIA) LTD.,6
125,CONTINENTAL CONTROLS LTD.,5
126,CONTROL PRINT LTD.,5
127,CORAL NEWSPRINTS LTD.,6
128,AUSOM ENTERPRISE LTD.,5
129,COSBOARD INDUSTRIES LTD.,5
130,COSMO FERRITES LTD.,6
131,COUNTRY CLUB HOSPITALITY & HOLIDAYS LTD.,5
132,CROSS COUNTRY HOTELS LTD.,5
133,D & H INDIA LTD.,5
134,LANCOR HOLDINGS LTD.,6
135,D C W LTD.,5
136,WINDSOR MACHINES LTD.,5
137,D S J COMMUNICATIONS LTD.,5
138,D S KULKARNI DEVELOPERS LTD.,5
139,BIRLA MACHINING & TOOLINGS LTD. [MERGED],5
140,DALMIA BHARAT SUGAR & INDS. LTD.,5
141,DAMODAR INDUSTRIES LTD.,5
142,DARSHAN OILS LTD.,6
143,DAWN MILLS CO. LTD. [MERGED],6
144,DECCAN POLYPACKS LTD.,5
145,DEEPAK NITRITE LTD.,6
146,DEEPAK SPINNERS LTD.,5
147,VELJAN DENISON LTD.,5
148,DENSO INDIA PVT. LTD.,6
149,CHENNAI MEENAKSHI MULTISPECIALITY HOSPITAL LTD.,5
150,DHAMPURE SPECIALTY SUGARS LTD.,5
151,DHANLAXMI COTEX LTD.,5
152,DHANVANTRI JEEVAN REKHA LTD.,5
153,DINA IRON & STEEL LTD.,5
154,DOLPHIN HOTELS PVT. LTD.,5
155,DR. REDDY'S LABORATORIES LTD.,5
156,MANGALAM ORGANICS LTD.,5
157,EASTERN SILK INDS. LTD.,5
158,EASTCOAST STEEL LTD.,5
159,EASTERN SUGAR & INDS. LTD.,5
160,EBERS PHARMACEUTICALS LTD.,6
161,EICHER MOTORS LTD.,5
162,ELECTROTHERM (INDIA) LTD.,5
163,ELGI EQUIPMENTS LTD.,5
164,ELLORA PAPER MILLS LTD.,5
165,EMA INDIA LTD.,5
166,ENCHANTE JEWELLERY LTD.,5
167,HINDUJA FOUNDRIES LTD. [MERGED],5
168,ENTERPRISE INTERNATIONAL LTD.,5
169,ESENES FORGINGS LTD.,5
170,ESSKAY PHARMACEUTICALS LTD.,5
171,ESTER INDUSTRIES LTD.,5
172,EURO MARINE PRODUCTS LTD.,5
173,EUROPEAN SOFTWARE ALLIANCES LTD.,5
174,EVEREADY INDUSTRIES (INDIA) LTD.,5
175,SCHAEFFLER INDIA LTD.,5
