,sa_company_name,f_score
0,A D S DIAGNOSTIC LTD.,2
1,APEEJAY TEA LTD. [MERGED],1
2,A I A ENGINEERING LTD.,2
3,A M I COMPUTERS (I) LTD.,2
4,ANIL SPECIAL STEEL INDS. LTD.,2
5,A T V PROJECTS INDIA LTD.,1
6,AAKAR ENGINEERING & MFG. CO. LTD.,2
7,JAINEX AAMCOL LTD.,2
8,AARTI DRUGS LTD.,2
9,ABACUS COMPUTERS LTD.,1
10,ADANI ENTERPRISES LTD.,2
11,ADARSH CHEMICALS & FERTILISERS LTD.,2
12,ADHUNIK SYNTHETICS LTD.,2
13,ADHUNIK YARNS LTD.,2
14,ARIS INTERNATIONAL LTD.,2
15,AGRI-MARINE EXPORTS LTD.,1
16,AHLUWALIA CONTRACTS (INDIA) LTD.,2
17,AHMEDABAD STEELCRAFT LTD.,1
18,AHURA WELDING ELECTRODE MFRS. LTD.,1
19,AJWA FUN WORLD & RESORT LTD.,1
20,AKASH AGRO INDS. LTD.,2
21,HUBTOWN LTD.,2
22,ALCHEMIE ORGANICS LTD. [MERGED],2
23,ALCOBEX METALS LTD.,1
24,ALKA INDIA LTD.,2
25,ALKYL AMINES CHEMICALS LTD.,2
26,ALPHA DRUG INDIA LTD. [MERGED],1
27,AMAR REMEDIES LTD.,1
28,AMBALAL SARABHAI ENTERPRISES LTD.,2
29,AMRUTANJAN HEALTH CARE LTD.,2
30,RAJENDRA CATERERS & CONFECTIONERS LTD.,2
31,ANDREW YULE & CO. LTD.,1
32,SHREE BHAVYA FABRICS LTD.,2
33,ANKA INDIA LTD.,2
34,ANTARCTICA LTD.,2
35,ANUH PHARMA LTD.,2
36,ANUP MALLEABLES LTD.,2
37,ANUPAMA STEEL LTD.,2
38,NEO INFRACON LTD.,2
39,APCOTEX INDUSTRIES LTD.,2
40,APOLLO TYRES LTD.,2
41,ARCHIES LTD.,2
42,ARLEM BREWERIES LTD. [MERGED],1
43,ARTSON ENGINEERING LTD.,2
44,ARUNODAY MILLS LTD.,2
45,GUJARAT METALLIC COAL & COKE LTD.,2
46,ARVIND INTERNATIONAL LTD.,2
47,ASHNOOR TEXTILE MILLS LTD.,2
48,KUMAKA INDUSTRIES LTD.,2
49,ASIAN BEARING LTD.,2
50,ASIAN ELECTRONICS LTD.,2
51,ASIAN HOTELS (NORTH) LTD.,2
52,ASPINWALL & CO. LTD.,2
53,ASSAM COMPANY INDIA LTD.,2
54,ATLAS CYCLES (HARYANA) LTD.,2
55,ATUL AUTO LTD.,2
56,AUROMED LTD.,2
57,AUSTIN ENGINEERING CO. LTD.,2
58,T V S AUTOLEC LTD. [MERGED],2
59,AVANTEL LTD.,2
60,AXEL POLYMERS LTD.,2
61,B I T S LTD.,2
62,B P L ENGINEERING LTD.,2
63,RELIANCE INFRASTRUCTURE LTD.,2
64,BAJAJ HOLDINGS & INVST. LTD.,2
65,BALA TECHNO INDS. LTD.,2
66,BALAJI DISTILLERIES LTD. [MERGED],2
67,BALAJI INDUSTRIAL CORPN. LTD.,1
68,INDIAN MARINE FREIGHT CONTAINER MFG. LTD.,1
69,BANNARI AMMAN SUGARS LTD.,2
70,BANSWARA TEXTILE MILLS LTD. [MERGED],2
71,BEDMUTHA INDUSTRIES LTD.,2
72,BEEYU OVERSEAS LTD.,2
73,BEMCO HYDRAULICS LTD.,2
74,BEST & CROMPTON ENGG. LTD.,2
75,BHAGWATI AUTOCAST LTD.,2
76,BHAGYANAGAR INDIA LTD.,2
77,SRI K P R INDUSTRIES LTD.,2
78,BHARAT HEAVY ELECTRICALS LTD.,2
79,BHARAT TEXTILES & PROOFING INDS. LTD.,1
80,BHARATI DEFENCE & INFRASTRUCTURE LTD.,2
81,BHARATPUR NUTRITIONAL PRODUCTS LTD.,1
82,BHASKAR AGROCHEMICALS LTD.,2
83,BHILAI ENGINEERING CORPN. LTD.,2
84,BHUWALKA STEEL INDS. LTD.,2
85,ADITYA BIRLA CHEMICALS (INDIA) LTD. [MERGED],2
86,BILATI (ORISSA) LTD.,2
87,BINNY LTD.,2
88,BIOFIL CHEMICALS & PHARMACEUTICALS LTD.,1
89,DIGJAM LTD. [MERGED],2
90,BLOOM DEKOR LTD.,2
91,BLOOM INDUSTRIES LTD.,1
92,BOBSHELL ELECTRODES LTD.,1
93,BOMBAY DYEING & MFG. CO. LTD.,2
94,BOMBAY PAINTS LTD. [MERGED],2
95,BONGAIGAON REFINERY & PETROCHEMICALS LTD. [MERGED],2
96,BRADY & MORRIS ENGG. CO. LTD.,2
97,BRIGHT BROTHERS LTD.,2
98,BRITANNIA INDUSTRIES LTD.,2
99,BRITELITE CARBONS LTD.,1
100,C R C CARRIER LTD.,1
101,C T R MANUFACTURING INDS. LTD.,2
102,CALCOM VISION LTD.,1
103,KOKUYO CAMLIN LTD.,2
104,CANA GLASS LTD.,2
105,CARNATION INDUSTRIES LTD.,2
106,CARRIER AIRCON LTD. [MERGED],2
107,CENTURY PLYBOARDS (INDIA) LTD.,2
108,CEREBRA INTEGRATED TECHNOLOGIES LTD.,2
109,CHANDNI TEXTILES ENGG. INDS. LTD.,2
110,CHASE BRIGHT STEEL LTD.,2
111,CHESLIND TEXTILES LTD. [MERGED],2
112,CHETAK SPINTEX LTD.,2
113,CHETTINAD CEMENT CORPN. PVT. LTD.,2
114,CHORDIA FOOD PRODUCTS LTD.,2
115,CHROMATIC INDIA LTD.,2
116,CIMMCO LTD.,2
117,CINEVISTA LTD.,1
118,CITYMAN LTD.,2
119,CLASSIC BIOTECH & EXPORTS LTD.,2
120,CLUTCH AUTO LTD.,1
121,COAL INDIA LTD.,1
122,COCHIN MINERALS & RUTILE LTD.,2
123,COMPUDYNE WINFOSYSTEMS LTD.,1
124,COMPUTER POINT LTD.,2
125,CONTINENTAL CHEMICALS LTD.,2
126,CONTINENTAL PETROLEUMS LTD.,2
127,YOGI HEALTHCARE LTD.,2
128,CORPORATE COURIER & CARGO LTD.,1
129,CYBER MEDIA (INDIA) LTD.,2
130,CYBERMATE INFOTEK LTD.,2
131,CYBERTECH SYSTEMS & SOFTWARE LTD.,2
132,DAEWOO MOTORS INDIA LTD.,2
133,DAI-ICHI KARKARIA LTD.,2
134,DATAMATICS GLOBAL SERVICES LTD.,1
135,DATAR SWITCHGEAR LTD.,2
136,DEEPHARMA LTD.,2
137,DEEP INDUSTRIES LTD.,2
138,DELIGHT HANDICRAFTS PALACE LTD.,1
139,DELTA POLYSTERS LTD.,2
140,DELTON CABLES LTD.,2
141,DEWAN STEELS LTD.,2
142,DEWAN TYRES LTD.,2
143,DHANLAXMI FABRICS LTD.,2
144,DHANUKA AGRITECH LTD.,2
145,DHARMADEEP POWERDIVE INDS. LTD.,2
146,DHOOT INDUSTRIAL FINANCE LTD.,2
147,DHRUV ESTATES LTD.,1
148,DIGIFLEX (INDIA) LTD.,2
149,INDIA POWER CORPN. LTD.,1
150,DOLPHIN LABORATORIES LTD. [MERGED],2
151,DOLPHIN MEDICAL SERVICES LTD.,2
152,FERMENTA BIOTECH LTD.,2
153,DUPONT SPORTSWEAR LTD.,2
154,DWARIKESH SUGAR INDS. LTD.,2
155,DYNACONS SYSTEMS & SOLUTIONS LTD.,2
156,EASUN REYROLLE LTD.,2
157,EICHER LTD. [MERGED],2
158,CRANES SOFTWARE INTL. LTD.,2
159,ELDECO HOUSING & INDS. LTD.,2
160,ELDER PHARMACEUTICALS LTD.,2
161,ELEGANT FLORICULTURE & AGROTECH (INDIA) LTD.,2
162,EMAMI LTD.,2
163,EMMSONS INTERNATIONAL LTD.,2
164,EMPEE SUGARS & CHEMICALS LTD.,1
165,EMPIRE INDUSTRIES LTD.,2
166,PRABHAV INDUSTRIES LTD.,1
167,EMTEX INDUSTRIES (INDIA) LTD.,2
168,ENKAY TEXOFOOD INDS. LTD.,2
169,E S L INDUSTRIES LTD.,1
170,ESKAY K'N'IT (INDIA) LTD.,1
171,ESQUIRE ENGINEERS & CONSULTANTS LTD.,1
172,EUPHARMA LABORATORIES LTD.,2
173,EVERLON SYNTHETICS LTD.,2
174,APIS INDIA LTD.,2
175,EXIDE INDUSTRIES LTD.,2
176,CENTERAC TECHNOLOGIES LTD.,1
177,F A L INDUSTRIES LTD. [MERGED],2
178,FEDDERS ELECTRIC & ENGG. LTD.,2
179,FILATEX INDIA LTD.,2
180,FINE DRUGS & CHEMICALS LTD. [MERGED],2
181,GENESIS I B R C INDIA LTD.,1
182,FINOLEX INDUSTRIES LTD.,2
183,FISCHER CHEMIC LTD.,1
184,GOLD EARTH BIOTECH LTD.,2
185,FOUNDRY FUEL PRODUCTS LTD.,2
186,XTGLOBAL INFOTECH LTD.,1
187,FUSION FITTINGS (I) LTD.,2
188,VALUEMART INFO TECHNOLOGIES LTD.,2
189,G E E LTD.,2
190,G G AUTOMOTIVE GEARS LTD.,2
191,G G DANDEKAR MACHINE WORKS LTD.,2
192,G K B OPHTHALMICS LTD.,2
193,G K W LTD.,1
194,G M BREWERIES LTD.,2
195,PARRYS SUGAR INDS. LTD. [MERGED],2
196,DELTA MANUFACTURING LTD.,2
197,G S L (INDIA) LTD.,1
198,GALADA POWER & TELECOMMUNICATION LTD.,2
199,GALAXY SURFACTANTS LTD.,2
200,GANESH BENZOPLAST LTD.,2
201,GAYATRI TISSUE & PAPERS LTD.,1
202,GEMINI COMMUNICATION LTD.,2
203,WILLIAMSON TEA ASSAM LTD. [MERGED],2
204,GERMAN GARDENS LTD.,2
205,GLENMARK PHARMACEUTICALS LTD.,2
206,METROGLOBAL LTD.,2
207,GLOBAL KNITFAB LTD.,2
208,GLOSTER LTD. [MERGED],1
209,GODAVARI FERTILISERS & CHEMICALS LTD. [MERGED],2
210,GODREJ PROPERTIES LTD.,2
211,GOLDIAM INTERNATIONAL LTD.,2
212,GOLDSTONE TECHNOLOGIES LTD.,1
213,GOLKONDA ENGINEERING ENTERPRISES LTD.,2
214,GOOD VALUE MKTG. CO. LTD.,1
215,GORANI INDUSTRIES LTD.,2
216,GOTHI PLASCON (INDIA) LTD.,2
217,RISA INTERNATIONAL LTD.,2
218,GRAPHIC CHARTS LTD.,2
219,GROB TEA CO. LTD.,1
220,AMBUJA CEMENTS LTD.,2
221,GUJARAT APOLLO INDS. LTD.,2
222,GUJARAT BOROSIL LTD. [MERGED],2
223,PIRAMAL GLASS PVT. LTD.,2
224,GUJARAT PETROSYNTHESE LTD.,2
225,GUJARAT SIDHEE CEMENT LTD.,1
226,GUJARAT TOOLROOM LTD.,2
227,ASEEM GLOBAL LTD.,2
228,GYAN LEATHERBOARD LTD.,1
229,UNIVERSAL OFFICE AUTOMATION LTD.,2
230,H P M INDUSTRIES LTD.,1
231,HANSAFLON PLASTO CHEM LTD.,2
232,HANUMAN TEA CO. LTD.,2
233,LE WATERINA RESORTS & HOTELS LTD.,2
234,HARRISONS MALAYALAM LTD.,2
235,HARSHVARDHAN CHEMICALS & MINERALS LTD.,2
236,HATIGOR TEA ESTATES LTD.,2
237,HEMADRI CEMENTS LTD.,2
238,UNIMERS INDIA LTD.,2
239,HI-TECH PIPES LTD.,1
240,HIGHLAND INDUSTRIES LTD.,1
241,HINDUSTAN AGRIGENETICS LTD.,2
242,HINDUSTAN COMPOSITES LTD.,2
243,HINDUSTAN HARDY LTD.,1
244,HUBERGROUP INDIA PVT. LTD.,2
245,HITECH DRILLING SERVICES INDIA LTD. [MERGED],2
246,HITEK INDUSTRIES LTD.,2
247,H L V LTD.,2
248,HOTEL RUGBY LTD.,2
249,FLEXTRONICS SOFTWARE SYSTEMS LTD. [MERGED],2
250,KINGFA SCIENCE & TECHNOLOGY (INDIA) LTD.,2
251,I B INFOTECH ENTERPRISES LTD.,1
252,3I INFOTECH LTD.,2
253,I E C EDUCATION LTD.,2
254,N M S RESOURCES GLOBAL LTD.,1
255,I S P L INDUSTRIES LTD.,2
256,I T I LTD.,2
257,I T L INDUSTRIES LTD.,2
258,I V R C L LTD.,2
259,ICCON OIL & SPECIALITIES LTD.,1
260,INDAG RUBBER LTD.,2
261,INDIA CEMENTS LTD.,2
262,INDIA MOTOR PARTS & ACCESSORIES LTD.,2
263,INDIA RUBBER LTD.,2
264,I E L LTD.,2
265,INDIAN FOOD FERMENTATIONS LTD.,2
266,INDIAN SEAMLESS METAL TUBES (KALYANI SEAMLESS TUBES) LTD. [MERGED],2
267,INDO AQUATICS LTD.,1
268,INDO GULF INDS. LTD.,2
269,INDO VANILLON CHEMICALS LTD.,1
270,INDO-ASIAN FOODS & COMMODITIES LTD.,2
271,INDO-FRENCH BIOTECH ENTERPRISES LTD.,1
272,INDOCO REMEDIES LTD.,2
273,INDUS NETWORKS LTD.,1
274,INFORMATION TECHNOLOGIES (INDIA) LTD.,2
275,CYIENT LTD.,2
276,INNOVATIVE TECH PACK LTD.,2
277,INTECON (INDIA) LTD.,2
278,INTEGRA SWITCHGEAR LTD.,2
279,INTEGRATED HITECH LTD.,2
280,YUVRAAJ HYGIENE PRODUCTS LTD.,2
281,INTERLINK PETROLEUM LTD.,2
282,ION EXCHANGE (INDIA) LTD.,2
283,BALASORE ALLOYS LTD.,2
284,ISPAT PROFILES INDIA LTD.,2
285,IYKOT HITECH TOOLROOM LTD.,2
286,J K INVESTO TRADE (INDIA) LTD.,2
287,J M P CASTINGS LTD.,2
288,J S L INDUSTRIES LTD.,2
289,JAIN STUDIOS LTD.,2
290,JAINCO PROJECTS (INDIA) LTD.,2
291,J D ORGOCHEM LTD.,2
292,JEET MACHINE TOOLS LTD.,2
293,JET AIRWAYS (INDIA) LTD.,2
294,JINDAL DRUGS PVT. LTD.,2
295,JOLLY PLASTIC INDS. LTD.,2
296,K C TEXTILES LTD.,2
297,SUMMIT SECURITIES LTD. [MERGED],2
298,KIRLOSKAR PNEUMATIC CO. LTD.,2
299,K R M INTERNATIONAL LTD.,2
300,K S L & INDUSTRIES LTD.,2
301,KABSONS INDUSTRIES LTD.,2
302,KAISER CORPORATION LTD.,2
303,KAJARIA CERAMICS LTD.,2
304,KAKATIYA TEXTILES LTD.,2
305,ACCELYA SOLUTIONS INDIA LTD.,2
306,KAMDHENU LTD.,2
307,KANORIA DYECHEM LTD.,2
308,MANOR ESTATES & INDS. LTD.,2
309,KAY POWER & PAPER LTD.,2
310,KAYTEE COTSYNTH INDS. LTD.,1
311,KERNEX MICROSYSTEMS (INDIA) LTD.,2
312,TULIVE DEVELOPERS LTD.,1
313,VELOX INDUSTRIES LTD.,2
314,KILBURN CHEMICALS LTD.,2
315,KOLUTHARA EXPORTS LTD.,2
316,KONARK SYNTHETIC LTD.,2
317,K C C L PLASTIC LTD.,2
318,KOTAK MAHINDRA BANK LTD.,2
319,KOVILPATTI LAKSHMI ROLLER FLOUR MILLS LTD.,2
320,KRISHNA ENGINEERING WORKS LTD.,2
321,KRISHNA FILAMENT INDS. LTD.,1
322,KUWER INDUSTRIES LTD.,2
323,VERTICAL INDUSTRIES LTD.,2
324,LAKSHMI AUTOMATIC LOOM WORKS LTD.,2
325,LANCO INFRATECH LTD.,2
326,LANYARD FOODS LTD.,2
327,LEHAR FOOTWEARS LTD.,1
328,LEE & NEE SOFTWARES (EXPORTS) LTD.,2
329,LIME CHEMICALS LTD.,2
330,LINCOLN PHARMACEUTICALS LTD.,2
331,LINKSON INTERNATIONAL LTD.,2
332,LLOYD ROCKFIBRES LTD.,1
333,LLOYDS METALS & ENERGY LTD.,1
