,sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_total_income,sa_sales,sa_prior_period_extra_ordi_inc,sa_prior_period_inc,sa_extra_ordi_inc,sa_tot_inc_net_of_pe,sa_pat,sa_pbdita,sa_pbt,sa_pbit_net_of_peoifi,sa_pat_net_of_pe,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_total_liabilities,sa_non_current_liabilities,sa_long_term_borrowings,sa_current_liabilities,sa_issued_equity_shares,sa_issued_pref_shares,sa_issued_equity_cap,sa_issued_pref_cap,sa_reduct_equity_cap_amt,sa_buyback_amt,sa_issued_equity_shares_in_lakhs,sa_shareholders_funds,sa_debt,sa_total_assets,sa_non_current_assets,sa_current_assets_incl_st_invest_loans,sa_avg_tot_asset_net_miscexp_now_reval,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cf_net_frm_op_activity,sa_cf_generated_frm_op,sa_cf_proceeds_share_issue,sa_year,sa_begin_year_total_assets,sa_roa,f_roa,sa_cfo,f_cfo,sa_prev_roa,f_del_roa,f_acc,f_del_lev,sa_avg_tot_assets,sa_leverage,sa_prev_leverage,sa_prev_current_ratio,f_del_liq,sa_prev_issued_equity_shares,f_eq_offer,sa_margin,sa_prev_margin,f_del_margin,sa_turnover,sa_prev_turnover,f_del_turn,f_score
5,289,A B C INDIA LTD.,20020331,12,IGAAP,995.5,973.4,12.5,12.2,0.3,983.0,8.7,79.2,14.4,31.8,-3.0,-0.3052,635.3,,0.0,87.0,5002362.0,,50.0,,,,50.0236,260.5,230.0,635.3,,,656.15,1.319,1.3248,0.8829,37.0,52.2,,2001,678.6,1.448570586501621,1,0.05452402004126142,1,1.7076427255985267,0,0,0,656.95,0.0,0.0,1.1922,1,,0,1.009862338196014,1.0082457412105836,1,1.4344238137341585,1.6936771025168813,0,4
8,363,STARLOG ENTERPRISES LTD.,20020331,12,IGAAP,625.6,30.1,0.9,0.1,0.8,624.7,71.4,461.8,77.4,-340.5,82.2,13.1583,2035.9,,0.0,230.1,11320200.0,9950000.0,113.2,99.5,,,113.20200000000001,1169.0,733.4,2035.9,,,2183.2,1.5477,1.5477,0.6857,406.8,432.6,17.3,2001,2337.6,0.2672399041752225,1,0.1740246406570842,1,0.24193809755307083,1,0,0,2186.75,0.0,0.0,1.1638,1,113.20200000000001,0,20.754152823920265,1.0528913963328632,1,0.012876454483230665,0.22978447577378058,0,5
11,365,A B G SHIPYARD LTD.,20020630,15,IGAAP,1582.6,1535.3,0.7,,0.7,1581.9,62.1,407.4,87.1,329.8,74.9,4.7348,4059.1,,0.0,2350.0,13000000.0,,130.0,,,,130.0,442.4,629.1,4059.1,,,2750.4,0.0717,0.7044,1.422,-11.9,-0.6,100.0,2001,2097.7,0.7541116460885733,1,-0.005672879820756067,0,0.5149586250795671,1,0,0,3078.3999999999996,0.0,0.0,0.5629,1,120.0,0,1.0303523741288347,1.006636250518457,1,0.7318968393955285,0.5115637598132824,1,5
14,400,A B L BIOTECHNOLOGIES LTD.,20020331,12,IGAAP,5.7,0.2,3.0,3.0,,2.7,-10.5,-3.3,-10.5,-14.3,-13.5,-500.0000,43.2,,0.0,2.3,4100000.0,,41.0,,,,41.0,24.5,12.7,43.2,,,46.1,0.0435,0.0435,0.5184,-0.2,-0.2,,2001,55.2,0.04891304347826087,1,-0.0036231884057971015,0,0.07503410641200546,0,0,0,49.19999999999977,0.0,0.0,0.975,0,41.0,0,13.5,1.896551724137931,1,0.0036231884057971015,0.03956343792633015,0,2
17,414,A B M INTERNATIONAL LTD.,20020331,12,IGAAP,419.1,402.7,1.3,1.3,,417.8,-9.0,7.9,-8.9,-9.8,-10.3,-2.4653,149.9,,0.0,21.7,490000.0,,4.9,,,,4.9,103.3,21.5,149.9,,,150.75,2.8805,2.9562,0.2081,14.5,17.9,,2001,151.6,2.755936675461742,1,0.09564643799472296,1,1.4080051646223368,1,0,0,150.74999999999983,0.0,0.0,2.1871,1,4.9,0,1.0374968959523219,1.016309412861137,1,2.6563324538258577,1.3854099418979986,1,6
20,415,A B M KNOWLEDGEWARE LTD.,20020331,12,IGAAP,108.6,104.3,,,,108.6,6.2,15.5,10.6,7.7,6.2,5.7090,137.5,,0.0,9.4,10350000.0,,103.5,,,,103.5,102.2,22.8,137.5,,,132.4,4.0922,4.2695,0.2231,-17.2,-17.2,,2001,130.8,0.8302752293577981,1,-0.1314984709480122,0,0.29114971050454924,1,0,0,134.1499999999998,0.0,0.0,1.2843,1,81.98899999999999,0,1.0412272291466922,1.0830769230769233,0,0.797400611620795,0.26881720430107525,1,4
28,666,A C I INFOCOM LTD.,20020331,12,IGAAP,1157.2,1153.4,0.2,0.2,,1157.0,-11.4,14.4,-11.4,-6.9,-11.3,-0.9767,333.6,,0.0,195.3,8149090.0,,81.4,,,,81.4909,109.1,29.2,333.6,,,403.0,0.8319,1.1589,0.2676,-27.8,-15.1,,2001,474.6,2.437842393594606,1,-0.05857564264643911,0,6.737596471885336,0,0,0,404.0999999999998,0.0,0.0,1.0468,1,45.6079,0,1.003121206866655,1.0018032786885247,1,2.4302570585756427,6.725468577728776,0,3
31,783,A D F FOODS LTD.,20020331,12,IGAAP,448.1,444.1,0.2,0.2,,447.9,4.8,38.8,7.0,25.2,5.1,1.1386,437.7,,0.0,101.9,10023400.0,,104.0,,,,100.234,220.0,109.9,437.7,,,440.4,0.5312,1.161,0.4995,27.1,28.0,,2001,443.1,1.010832769126608,1,0.06116000902730761,1,0.9478600912448403,1,0,0,440.39999999999975,0.0,0.0,1.1037,1,107.8,1,1.0085566313893266,1.0073885938582314,1,1.0022568269013767,0.9409081034108191,1,7
34,830,A D S DIAGNOSTIC LTD.,20020331,12,IGAAP,24.8,24.5,,,,24.8,0.1,6.2,0.2,1.6,0.2,0.8065,56.1,,0.0,2.8,2192800.0,,22.5,,,,21.928,30.1,13.6,56.1,,,54.9,1.0816,2.0204,0.4518,3.5,3.7,,2001,55.3,0.44846292947558775,1,0.06329113924050633,1,0.5,0,0,0,55.69999999999972,0.0,0.0,0.8987,1,22.973000000000003,1,1.0122448979591836,1.00418410041841,1,0.44303797468354433,0.4979166666666666,0,5
39,934,APEEJAY TEA LTD. [MERGED],20020331,12,IGAAP,983.1,929.3,1.5,1.5,,981.6,53.7,136.3,71.7,43.5,52.2,5.3178,2704.1,,0.0,175.0,6000000.0,,60.0,,,,60.0,824.3,199.1,2704.1,,,1246.7,0.1637,0.315,0.2415,-44.6,-30.1,,2001,2629.5,0.3733029092983457,1,-0.01696139950560943,0,0.36240646965459905,1,0,0,2666.7999999999997,0.0,0.0,0.5096,0,60.0,0,1.056278919616916,1.055237676056338,1,0.3534131964251759,0.3434358703045877,1,4
