sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_total_income,sa_sales,sa_prior_period_extra_ordi_inc,sa_prior_period_inc,sa_extra_ordi_inc,sa_tot_inc_net_of_pe,sa_pat,sa_pbdita,sa_pbt,sa_pbit_net_of_peoifi,sa_pat_net_of_pe,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_total_liabilities,sa_non_current_liabilities,sa_long_term_borrowings,sa_current_liabilities,sa_issued_equity_shares,sa_issued_pref_shares,sa_issued_equity_cap,sa_issued_pref_cap,sa_reduct_equity_cap_amt,sa_buyback_amt,sa_issued_equity_shares_in_lakhs,sa_shareholders_funds,sa_debt,sa_total_assets,sa_non_current_assets,sa_current_assets_incl_st_invest_loans,sa_avg_tot_asset_net_miscexp_now_reval,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cf_net_frm_op_activity,sa_cf_generated_frm_op,sa_cf_proceeds_share_issue,sa_year
11,20 MICRONS LTD.,20040331,12,IGAAP,536.3,533.6,,,,536.3,-60.8,49.9,-70.2,-29.3,-53.6,-9.9944,768.5,,,75.8,12444800.0,,124.4,,,,124.448,250.1,388.3,768.5,,,798.65,0.7465,1.246,1.5526,17.4,21.1,,2003
11,20 MICRONS LTD.,20050331,12,IGAAP,582.4,578.3,1.6,,1.6,580.8,-63.2,70.0,-62.9,-32.0,-64.4,-11.0882,698.5,,,73.1,12444800.0,,124.4,,,,124.448,186.9,389.1,698.5,,,733.5,0.6943,1.1532,2.0819,68.2,70.3,,2004
11,20 MICRONS LTD.,20060331,12,IGAAP,724.5,720.8,,,,724.5,18.0,83.1,10.3,44.3,18.6,2.5673,742.9,,,70.9,12444800.0,,124.4,,,,124.448,201.9,399.6,742.9,,,720.7,0.7248,1.0931,1.9792,53.8,54.8,,2005
289,A B C INDIA LTD.,20040331,12,IGAAP,1014.9,999.6,10.4,8.4,2.0,1004.5,12.4,71.9,21.4,33.8,2.6,0.2588,655.2,,,77.8,5002362.0,,50.0,,,,50.0236,280.7,243.7,655.2,,,674.8,1.423,1.4536,0.8682,32.5,50.8,,2003
289,A B C INDIA LTD.,20050331,12,IGAAP,1015.3,997.7,11.3,11.1,0.2,1004.0,-10.6,52.2,-1.9,34.2,-4.3,-0.4283,699.5,,,79.1,5002362.0,,50.0,,,,50.0236,264.9,288.6,699.5,,,677.35,1.2557,1.281,1.0895,12.4,28.4,,2004
289,A B C INDIA LTD.,20060331,12,IGAAP,1094.4,1081.0,11.3,7.3,4.0,1083.1,12.0,70.8,12.9,42.3,5.4,0.4986,686.8,,,86.7,5002362.0,,50.0,,,,50.0236,271.3,283.2,686.8,,,693.15,0.9632,0.9693,1.0439,47.2,62.3,,2005
363,STARLOG ENTERPRISES LTD.,20040331,12,IGAAP,634.6,8.7,16.7,16.7,,617.9,119.4,502.3,128.0,-287.6,102.7,16.6208,1974.5,,,117.0,11320200.0,,113.2,,,,113.202,1128.0,631.4,1974.5,,,1956.45,3.5235,3.5235,0.5598,454.3,459.5,-7.0,2003
363,STARLOG ENTERPRISES LTD.,20050331,12,IGAAP,723.5,7.6,3.5,0.6,2.9,720.0,100.4,528.3,111.3,-296.4,141.2,19.6111,1992.6,,,142.5,11320200.0,,113.2,,,,113.202,1209.3,525.1,1992.6,,,1983.55,3.1559,3.1559,0.4342,507.0,506.0,,2004
363,STARLOG ENTERPRISES LTD.,20060331,12,IGAAP,699.6,34.9,83.5,3.8,79.7,616.1,168.0,541.7,215.7,-277.6,84.7,13.7478,2779.1,,,365.4,11320200.0,,113.2,,,,113.202,1345.0,913.7,2779.1,,,2385.85,1.4913,1.4913,0.6793,681.2,705.8,,2005
365,A B G SHIPYARD LTD.,20040331,12,IGAAP,2994.0,2955.4,15.9,,15.9,2978.1,129.1,357.9,194.4,291.4,115.5,3.8783,2792.5,,,1230.0,13000000.0,,130.0,,,,130.0,540.1,320.2,2792.5,,,2973.1,0.1235,0.7382,0.5929,66.3,76.0,,2003
365,A B G SHIPYARD LTD.,20050331,12,IGAAP,3805.3,3766.5,1.5,,1.5,3803.8,447.5,944.8,674.1,891.4,462.8,12.1668,3609.3,,,1010.2,32500000.0,,325.0,,,,325.0,987.6,730.2,3609.3,,,2633.55,0.1,0.507,0.7394,21.7,71.4,,2004
365,A B G SHIPYARD LTD.,20060331,12,IGAAP,5600.4,5417.4,116.4,90.3,26.1,5484.0,836.8,1588.7,1338.3,1372.8,723.8,13.1984,10270.0,,,3615.5,50921801.0,,509.2,,,,509.218,4288.9,997.0,10270.0,,,6394.15,0.7064,1.1803,0.2325,1394.7,1470.1,2688.2,2005
400,A B L BIOTECHNOLOGIES LTD.,20040331,12,IGAAP,25.8,25.5,,,,25.8,1.0,3.3,1.0,0.9,1.0,3.8760,53.2,,,14.8,4100000.0,,41.0,,,,41.0,22.5,10.5,53.2,,,44.0,0.0622,0.3014,0.4667,6.1,8.5,,2003
400,A B L BIOTECHNOLOGIES LTD.,20050331,12,IGAAP,70.6,67.8,2.8,2.8,,67.8,6.1,10.6,6.4,5.1,3.3,4.8673,78.0,,,28.6,4100000.0,,41.0,,,,41.0,25.3,15.1,78.0,,,58.95,0.0358,0.3836,0.5968,7.0,11.5,,2004
400,A B L BIOTECHNOLOGIES LTD.,20060331,12,IGAAP,109.6,109.5,,,,109.6,16.8,22.5,18.0,20.7,16.8,15.3285,145.4,,,41.6,4100000.0,,41.0,,,,41.0,37.0,51.7,145.4,,,100.85,0.4935,0.7565,1.3973,-33.2,-27.8,,2005
